Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Nico Hoerner","CHC",141,615,8,56,64,22,0.066666666,0.087804878,0.094812164,0.27920792,0.266547406,0.320325203,0.36135957,0.30310942622704234,0.32415182110525775,91.70094016199948,3.656193104106933,-2.5052559222802477,8.693410873413086,2.6622992340871194,"Nico Hoerner",21479,663538
"Jake McCarthy","COL",128,515,15,71,75,29,0.054368932,0.161165048,0.191082803,0.325396825,0.29299363,0.337254901,0.484076433,0.35347403770345603,0.3219838480311116,110.5347783223727,6.973489462863654,13.523039714776324,-4.307220101356506,2.6402124021003166,"Jake McCarthy",21622,664983
"Sal Stewart","CIN",143,621,31,80,107,15,0.095008051,0.21095008,0.214936248,0.292929292,0.267759562,0.338164251,0.48269581,0.35187410050398343,0.3512900901946011,119.94707860590103,-1.8236769228242338,13.130060396777445,-7.649456828832626,2.6100678929084893,"Sal Stewart",31505,701398
"Liam Hicks","- - -",127,502,17,62,76,3,0.099601593,0.095617529,0.152073732,0.287234042,0.288018433,0.369261477,0.440092165,0.3547415744109326,0.31608749929100577,124.22724523918103,-5.605315939057618,8.885409111673868,0.17568820156157017,2.6093798013672673,"Liam Hicks",29844,689414
"Alec Burleson","STL",143,605,21,79,103,4,0.079338842,0.170247933,0.180987203,0.31381733,0.283363802,0.345454545,0.464351005,0.35075152416197514,0.37268244425455727,123.35694475641036,-0.6239444850943983,16.43492538896697,-10.54539684113115,2.5988449750704556,"Alec Burleson",27615,676475
"Mookie Betts","LAD",106,452,18,57,58,1,0.077433628,0.112831858,0.176328503,0.242774566,0.246376811,0.307522123,0.422705314,0.3175014841529999,0.3302812470094133,99.6043284248726,-0.6396039673127234,-0.8555037150331384,11.571853637695312,2.584859347437674,"Mookie Betts",13611,605141
"TJ Rumfield","COL",139,565,15,61,67,0,0.115044247,0.138053097,0.161554192,0.329145728,0.298568507,0.38938053,0.460122699,0.3749804960942901,0.33410938283338903,124.91854109745906,-5.331988991238177,11.664135682267919,-5.124660968780518,2.532866067767494,"TJ Rumfield",29805,681198
"Munetaka Murakami","CHW",108,474,30,73,62,1,0.17299578,0.343881856,0.267352185,0.26395939,0.210796915,0.35021097,0.4781491,0.35653415565327,0.3469791083500303,129.981660305081,-1.571002601645887,14.908008900708687,-6.9011722803115845,2.5237108297683717,"Munetaka Murakami",37120,808959
"Andrés Giménez","TOR",133,454,8,35,52,20,0.033039647,0.191629955,0.110047847,0.283536585,0.241626794,0.287610619,0.351674641,0.28139555520481535,0.26910126819907954,78.36719613858358,0.8575664660893381,-10.530914531269783,18.82551145553589,2.480936113633028,"Andres Gimenez",19950,665926
"Caleb Durbin","BOS",136,519,12,67,62,17,0.082851637,0.138728323,0.13215859,0.267379679,0.246696035,0.325536062,0.378854625,0.31366789946332574,0.28919522154564953,96.96330825315611,1.8107912740670145,-0.016741621189074962,5.94945228099823,2.4746629993111258,"Caleb Durbin",29646,702332
"Brooks Lee","MIN",137,551,23,63,79,7,0.059891107,0.159709618,0.189453125,0.260545905,0.25,0.298181818,0.439453125,0.32030343554236673,0.27552892511541194,104.58419065461626,-0.7594525571912527,2.169493722354458,2.3434518575668335,2.445402921456528,"Brooks Lee",31595,686797
"Hunter Goodman","COL",123,509,36,77,76,5,0.082514734,0.326129666,0.279475983,0.3,0.248908296,0.316306483,0.528384279,0.3587622468179394,0.32476685539124506,114.071592428418,-3.0496840556152165,5.596806634329322,1.6845651268959045,2.4233837449299624,"Hunter Goodman",29715,696100
